1 4.264 5 4.262 5 2.792 2 2.600 1
3 9.699 5 12.208 5 7.848 4 6.600 1
10 28.388 5 27.718 5 25.544 11 20.624 1
30 82.184 6 79.282 5 76.104 31 60.672 1
100 255.538 7 268.921 5 253.064 101 200.848 1
300 764.784 9 863.907 5 758.664 301 601.344 1
1000 2463.906 11 2904.551 6 2528.264 1001 2003.096 1
